[07:02:48] Run started: categories=['multi_turn_base'], workers=3, max_entries=all
[07:02:48] ── multi_turn_base ──
[07:02:48]   Loaded 200 entries
[07:03:04]   [1/200] multi_turn_base_1: PASS (1/1 = 100%)
[07:03:12]   [2/200] multi_turn_base_0: PASS (2/2 = 100%)
[07:03:13]   [3/200] multi_turn_base_2: PASS (3/3 = 100%)
[07:03:19]   [4/200] multi_turn_base_3: PASS (4/4 = 100%)
[07:03:20]   [5/200] multi_turn_base_4: PASS (5/5 = 100%)
[07:03:31]   [6/200] multi_turn_base_5: PASS (6/6 = 100%)
[07:03:34]   [7/200] multi_turn_base_7: PASS (7/7 = 100%)
[07:03:39]   [8/200] multi_turn_base_6: PASS (8/8 = 100%)
[07:03:51]   [9/200] multi_turn_base_9: PASS (9/9 = 100%)
[07:03:57]   [10/200] multi_turn_base_8: FAIL (9/10 = 90%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[07:03:58]   [11/200] multi_turn_base_11: PASS (10/11 = 91%)
[07:04:05]   [12/200] multi_turn_base_10: PASS (11/12 = 92%)
[07:04:08]   [13/200] multi_turn_base_12: PASS (12/13 = 92%)
[07:04:10]   [14/200] multi_turn_base_13: FAIL (12/14 = 86%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[07:04:21]   [15/200] multi_turn_base_14: PASS (13/15 = 87%)
[07:04:24]   [16/200] multi_turn_base_15: PASS (14/16 = 88%)
[07:04:25]   [17/200] multi_turn_base_16: PASS (15/17 = 88%)
[07:04:34]   [18/200] multi_turn_base_17: PASS (16/18 = 89%)
[07:04:35]   [19/200] multi_turn_base_19: PASS (17/19 = 89%)
[07:04:42]   [20/200] multi_turn_base_18: FAIL (17/20 = 85%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[07:04:44]   [21/200] multi_turn_base_20: PASS (18/21 = 86%)
[07:04:45]   [22/200] multi_turn_base_21: FAIL (18/22 = 82%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[07:04:53]   [23/200] multi_turn_base_23: FAIL (18/23 = 78%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[07:04:58]   [24/200] multi_turn_base_22: FAIL (18/24 = 75%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[07:05:05]   [25/200] multi_turn_base_25: FAIL (18/25 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[07:05:06]   [26/200] multi_turn_base_24: PASS (19/26 = 73%)
[07:05:06]   [27/200] multi_turn_base_26: PASS (20/27 = 74%)
[07:05:16]   [28/200] multi_turn_base_29: PASS (21/28 = 75%)
[07:05:17]   [29/200] multi_turn_base_27: PASS (22/29 = 76%)
[07:05:21]   [30/200] multi_turn_base_28: PASS (23/30 = 77%)
[07:05:32]   [31/200] multi_turn_base_31: FAIL (23/31 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[07:05:33]   [32/200] multi_turn_base_32: PASS (24/32 = 75%)
[07:05:34]   [33/200] multi_turn_base_30: FAIL (24/33 = 73%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[07:05:46]   [34/200] multi_turn_base_33: PASS (25/34 = 74%)
[07:05:49]   [35/200] multi_turn_base_34: PASS (26/35 = 74%)
[07:05:53]   [36/200] multi_turn_base_35: PASS (27/36 = 75%)
[07:06:01]   [37/200] multi_turn_base_37: PASS (28/37 = 76%)
[07:06:05]   [38/200] multi_turn_base_36: PASS (29/38 = 76%)
[07:06:06]   [39/200] multi_turn_base_38: PASS (30/39 = 77%)
[07:06:16]   [40/200] multi_turn_base_39: PASS (31/40 = 78%)
[07:06:16]   [41/200] multi_turn_base_41: FAIL (31/41 = 76%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[07:06:19]   [42/200] multi_turn_base_40: PASS (32/42 = 76%)
[07:06:30]   [43/200] multi_turn_base_42: PASS (33/43 = 77%)
[07:06:31]   [44/200] multi_turn_base_43: FAIL (33/44 = 75%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[07:06:31]   [45/200] multi_turn_base_44: PASS (34/45 = 76%)
[07:06:37]   [46/200] multi_turn_base_45: PASS (35/46 = 76%)
[07:06:39]   [47/200] multi_turn_base_46: PASS (36/47 = 77%)
