[07:22:37] Run started: categories=['multi_turn_miss_func'], workers=3, max_entries=all
[07:22:37] ── multi_turn_miss_func ──
[07:22:37]   Loaded 200 entries
[07:22:53]   [1/200] multi_turn_miss_func_1: PASS (1/1 = 100%)
[07:23:01]   [2/200] multi_turn_miss_func_0: PASS (2/2 = 100%)
[07:23:08]   [3/200] multi_turn_miss_func_3: PASS (3/3 = 100%)
[07:23:10]   [4/200] multi_turn_miss_func_4: PASS (4/4 = 100%)
[07:23:12]   [5/200] multi_turn_miss_func_2: FAIL (4/5 = 80%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 4.
[07:23:22]   [6/200] multi_turn_miss_func_7: PASS (5/6 = 83%)
[07:23:27]   [7/200] multi_turn_miss_func_6: PASS (6/7 = 86%)
[07:23:28]   [8/200] multi_turn_miss_func_5: FAIL (6/8 = 75%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[07:23:54]   [9/200] multi_turn_miss_func_10: PASS (7/9 = 78%)
[07:23:56]   [10/200] multi_turn_miss_func_9: PASS (8/10 = 80%)
[07:23:59]   [11/200] multi_turn_miss_func_8: FAIL (8/11 = 73%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[07:24:02]   [12/200] multi_turn_miss_func_11: PASS (9/12 = 75%)
[07:24:09]   [13/200] multi_turn_miss_func_12: PASS (10/13 = 77%)
[07:24:12]   [14/200] multi_turn_miss_func_13: FAIL (10/14 = 71%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[07:24:16]   [15/200] multi_turn_miss_func_14: PASS (11/15 = 73%)
[07:24:30]   [16/200] multi_turn_miss_func_15: PASS (12/16 = 75%)
[07:24:31]   [17/200] multi_turn_miss_func_17: PASS (13/17 = 76%)
[07:24:35]   [18/200] multi_turn_miss_func_16: PASS (14/18 = 78%)
[07:24:43]   [19/200] multi_turn_miss_func_19: PASS (15/19 = 79%)
[07:24:48]   [20/200] multi_turn_miss_func_20: PASS (16/20 = 80%)
[07:24:49]   [21/200] multi_turn_miss_func_18: FAIL (16/21 = 76%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[07:24:57]   [22/200] multi_turn_miss_func_21: FAIL (16/22 = 73%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[07:25:05]   [23/200] multi_turn_miss_func_23: PASS (17/23 = 74%)
[07:25:15]   [24/200] multi_turn_miss_func_22: FAIL (17/24 = 71%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[07:25:20]   [25/200] multi_turn_miss_func_24: PASS (18/25 = 72%)
[07:25:21]   [26/200] multi_turn_miss_func_25: FAIL (18/26 = 69%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[07:25:27]   [27/200] multi_turn_miss_func_26: PASS (19/27 = 70%)
[07:25:36]   [28/200] multi_turn_miss_func_28: PASS (20/28 = 71%)
[07:25:36]   [29/200] multi_turn_miss_func_29: PASS (21/29 = 72%)
[07:25:46]   [30/200] multi_turn_miss_func_27: PASS (22/30 = 73%)
[07:25:52]   [31/200] multi_turn_miss_func_30: FAIL (22/31 = 71%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[07:25:56]   [32/200] multi_turn_miss_func_31: FAIL (22/32 = 69%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[07:25:59]   [33/200] multi_turn_miss_func_32: PASS (23/33 = 70%)
[07:26:10]   [34/200] multi_turn_miss_func_34: PASS (24/34 = 71%)
[07:26:12]   [35/200] multi_turn_miss_func_33: PASS (25/35 = 71%)
[07:26:17]   [36/200] multi_turn_miss_func_35: PASS (26/36 = 72%)
[07:26:29]   [37/200] multi_turn_miss_func_37: PASS (27/37 = 73%)
[07:26:32]   [38/200] multi_turn_miss_func_38: PASS (28/38 = 74%)
[07:26:37]   [39/200] multi_turn_miss_func_36: PASS (29/39 = 74%)
[07:26:45]   [40/200] multi_turn_miss_func_39: PASS (30/40 = 75%)
[07:26:47]   [41/200] multi_turn_miss_func_40: PASS (31/41 = 76%)
[07:26:58]   [42/200] multi_turn_miss_func_41: FAIL (31/42 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[07:27:01]   [43/200] multi_turn_miss_func_42: FAIL (31/43 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[07:27:03]   [44/200] multi_turn_miss_func_43: FAIL (31/44 = 70%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[07:27:08]   [45/200] multi_turn_miss_func_45: PASS (32/45 = 71%)
[07:27:11]   [46/200] multi_turn_miss_func_46: FAIL (32/46 = 70%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[07:27:13]   [47/200] multi_turn_miss_func_44: PASS (33/47 = 70%)
[07:27:21]   [48/200] multi_turn_miss_func_47: FAIL (33/48 = 69%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[07:27:25]   [49/200] multi_turn_miss_func_49: FAIL (33/49 = 67%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[07:27:29]   [50/200] multi_turn_miss_func_50: PASS (34/50 = 68%)
[07:27:40]   [51/200] multi_turn_miss_func_48: PASS (35/51 = 69%)
[07:27:45]   [52/200] multi_turn_miss_func_51: PASS (36/52 = 69%)
[07:27:58]   [53/200] multi_turn_miss_func_52: PASS (37/53 = 70%)
[07:28:06]   [54/200] multi_turn_miss_func_53: PASS (38/54 = 70%)
[07:28:09]   [55/200] multi_turn_miss_func_54: FAIL (38/55 = 69%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[07:28:21]   [56/200] multi_turn_miss_func_57: PASS (39/56 = 70%)
[07:28:31]   [57/200] multi_turn_miss_func_56: PASS (40/57 = 70%)
[07:28:36]   [58/200] multi_turn_miss_func_55: FAIL (40/58 = 69%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[07:28:55]   [59/200] multi_turn_miss_func_58: FAIL (40/59 = 68%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[07:29:01]   [60/200] multi_turn_miss_func_59: PASS (41/60 = 68%)
[07:29:10]   [61/200] multi_turn_miss_func_60: FAIL (41/61 = 67%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[07:29:17]   [62/200] multi_turn_miss_func_61: PASS (42/62 = 68%)
[07:29:19]   [63/200] multi_turn_miss_func_62: FAIL (42/63 = 67%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[07:29:35]   [64/200] multi_turn_miss_func_64: PASS (43/64 = 67%)
[07:29:39]   [65/200] multi_turn_miss_func_63: PASS (44/65 = 68%)
[07:29:44]   [66/200] multi_turn_miss_func_65: PASS (45/66 = 68%)
[07:29:56]   [67/200] multi_turn_miss_func_66: PASS (46/67 = 69%)
[07:30:01]   [68/200] multi_turn_miss_func_67: PASS (47/68 = 69%)
[07:30:08]   [69/200] multi_turn_miss_func_68: FAIL (47/69 = 68%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[07:30:17]   [70/200] multi_turn_miss_func_69: FAIL (47/70 = 67%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[07:30:25]   [71/200] multi_turn_miss_func_70: FAIL (47/71 = 66%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[07:30:31]   [72/200] multi_turn_miss_func_71: PASS (48/72 = 67%)
