[07:47:41] Run started: categories=['multi_turn_miss_param'], workers=3, max_entries=all
[07:47:41] ── multi_turn_miss_param ──
[07:47:41]   Loaded 200 entries
[07:48:03]   [1/200] multi_turn_miss_param_1: PASS (1/1 = 100%)
[07:48:15]   [2/200] multi_turn_miss_param_3: PASS (2/2 = 100%)
[07:48:18]   [3/200] multi_turn_miss_param_0: PASS (3/3 = 100%)
[07:48:27]   [4/200] multi_turn_miss_param_2: PASS (4/4 = 100%)
[07:48:27]   [5/200] multi_turn_miss_param_4: PASS (5/5 = 100%)
[07:48:39]   [6/200] multi_turn_miss_param_5: PASS (6/6 = 100%)
[07:48:50]   [7/200] multi_turn_miss_param_7: PASS (7/7 = 100%)
[07:48:52]   [8/200] multi_turn_miss_param_6: PASS (8/8 = 100%)
[07:49:06]   [9/200] multi_turn_miss_param_9: PASS (9/9 = 100%)
[07:49:09]   [10/200] multi_turn_miss_param_8: FAIL (9/10 = 90%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[07:49:19]   [11/200] multi_turn_miss_param_11: PASS (10/11 = 91%)
[07:49:23]   [12/200] multi_turn_miss_param_12: PASS (11/12 = 92%)
[07:49:31]   [13/200] multi_turn_miss_param_10: PASS (12/13 = 92%)
[07:49:31]   [14/200] multi_turn_miss_param_13: FAIL (12/14 = 86%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[07:49:40]   [15/200] multi_turn_miss_param_14: PASS (13/15 = 87%)
[07:49:48]   [16/200] multi_turn_miss_param_16: PASS (14/16 = 88%)
[07:49:56]   [17/200] multi_turn_miss_param_17: PASS (15/17 = 88%)
[07:50:01]   [18/200] multi_turn_miss_param_15: PASS (16/18 = 89%)
[07:50:09]   [19/200] multi_turn_miss_param_19: PASS (17/19 = 89%)
[07:50:15]   [20/200] multi_turn_miss_param_20: FAIL (17/20 = 85%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[07:50:21]   [21/200] multi_turn_miss_param_18: FAIL (17/21 = 81%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[07:50:25]   [22/200] multi_turn_miss_param_21: FAIL (17/22 = 77%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[07:50:34]   [23/200] multi_turn_miss_param_23: FAIL (17/23 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[07:50:37]   [24/200] multi_turn_miss_param_22: FAIL (17/24 = 71%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[07:50:42]   [25/200] multi_turn_miss_param_24: FAIL (17/25 = 68%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[07:50:50]   [26/200] multi_turn_miss_param_26: PASS (18/26 = 69%)
[07:50:53]   [27/200] multi_turn_miss_param_25: FAIL (18/27 = 67%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[07:51:00]   [28/200] multi_turn_miss_param_27: PASS (19/28 = 68%)
[07:51:04]   [29/200] multi_turn_miss_param_29: PASS (20/29 = 69%)
[07:51:13]   [30/200] multi_turn_miss_param_28: FAIL (20/30 = 67%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[07:51:23]   [31/200] multi_turn_miss_param_30: PASS (21/31 = 68%)
[07:51:25]   [32/200] multi_turn_miss_param_31: FAIL (21/32 = 66%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[07:51:31]   [33/200] multi_turn_miss_param_32: PASS (22/33 = 67%)
[07:51:36]   [34/200] multi_turn_miss_param_33: PASS (23/34 = 68%)
[07:51:46]   [35/200] multi_turn_miss_param_34: PASS (24/35 = 69%)
[07:51:47]   [36/200] multi_turn_miss_param_35: PASS (25/36 = 69%)
[07:51:57]   [37/200] multi_turn_miss_param_36: PASS (26/37 = 70%)
