[11:48:27] Run started: categories=['multi_turn_miss_func'], workers=3, max_entries=all
[11:48:27] ── multi_turn_miss_func ──
[11:48:27]   Loaded 200 entries
[11:48:44]   [1/200] multi_turn_miss_func_1: PASS (1/1 = 100%)
[11:48:57]   [2/200] multi_turn_miss_func_2: PASS (2/2 = 100%)
[11:48:59]   [3/200] multi_turn_miss_func_3: PASS (3/3 = 100%)
[11:49:01]   [4/200] multi_turn_miss_func_0: PASS (4/4 = 100%)
[11:49:06]   [5/200] multi_turn_miss_func_4: PASS (5/5 = 100%)
[11:49:18]   [6/200] multi_turn_miss_func_7: PASS (6/6 = 100%)
[11:49:18]   [7/200] multi_turn_miss_func_6: PASS (7/7 = 100%)
[11:49:20]   [8/200] multi_turn_miss_func_5: FAIL (7/8 = 88%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[11:49:44]   [9/200] multi_turn_miss_func_9: PASS (8/9 = 89%)
[11:49:46]   [10/200] multi_turn_miss_func_10: PASS (9/10 = 90%)
[11:49:51]   [11/200] multi_turn_miss_func_11: PASS (10/11 = 91%)
[11:49:54]   [12/200] multi_turn_miss_func_8: FAIL (10/12 = 83%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[11:49:58]   [13/200] multi_turn_miss_func_12: PASS (11/13 = 85%)
[11:50:00]   [14/200] multi_turn_miss_func_13: FAIL (11/14 = 79%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[11:50:11]   [15/200] multi_turn_miss_func_14: PASS (12/15 = 80%)
[11:50:18]   [16/200] multi_turn_miss_func_15: PASS (13/16 = 81%)
[11:50:22]   [17/200] multi_turn_miss_func_16: PASS (14/17 = 82%)
[11:50:27]   [18/200] multi_turn_miss_func_17: PASS (15/18 = 83%)
[11:50:34]   [19/200] multi_turn_miss_func_19: PASS (16/19 = 84%)
[11:50:35]   [20/200] multi_turn_miss_func_18: FAIL (16/20 = 80%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[11:50:50]   [21/200] multi_turn_miss_func_21: FAIL (16/21 = 76%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[11:50:51]   [22/200] multi_turn_miss_func_20: PASS (17/22 = 77%)
[11:50:59]   [23/200] multi_turn_miss_func_22: FAIL (17/23 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[11:51:08]   [24/200] multi_turn_miss_func_24: PASS (18/24 = 75%)
[11:51:10]   [25/200] multi_turn_miss_func_25: FAIL (18/25 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[11:51:14]   [26/200] multi_turn_miss_func_23: PASS (19/26 = 73%)
[11:51:22]   [27/200] multi_turn_miss_func_26: PASS (20/27 = 74%)
[11:51:26]   [28/200] multi_turn_miss_func_28: PASS (21/28 = 75%)
[11:51:28]   [29/200] multi_turn_miss_func_27: PASS (22/29 = 76%)
[11:51:32]   [30/200] multi_turn_miss_func_29: PASS (23/30 = 77%)
[11:51:43]   [31/200] multi_turn_miss_func_30: FAIL (23/31 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[11:51:44]   [32/200] multi_turn_miss_func_32: PASS (24/32 = 75%)
[11:51:46]   [33/200] multi_turn_miss_func_31: FAIL (24/33 = 73%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[11:51:55]   [34/200] multi_turn_miss_func_34: PASS (25/34 = 74%)
[11:52:01]   [35/200] multi_turn_miss_func_33: PASS (26/35 = 74%)
[11:52:07]   [36/200] multi_turn_miss_func_35: PASS (27/36 = 75%)
[11:52:15]   [37/200] multi_turn_miss_func_36: PASS (28/37 = 76%)
[11:52:16]   [38/200] multi_turn_miss_func_37: PASS (29/38 = 76%)
[11:52:18]   [39/200] multi_turn_miss_func_38: PASS (30/39 = 77%)
[11:52:28]   [40/200] multi_turn_miss_func_39: PASS (31/40 = 78%)
[11:52:31]   [41/200] multi_turn_miss_func_40: PASS (32/41 = 78%)
[11:52:37]   [42/200] multi_turn_miss_func_41: FAIL (32/42 = 76%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[11:52:43]   [43/200] multi_turn_miss_func_42: FAIL (32/43 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[11:52:45]   [44/200] multi_turn_miss_func_43: FAIL (32/44 = 73%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[11:52:50]   [45/200] multi_turn_miss_func_45: PASS (33/45 = 73%)
[11:52:50]   [46/200] multi_turn_miss_func_44: PASS (34/46 = 74%)
[11:52:53]   [47/200] multi_turn_miss_func_46: FAIL (34/47 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[11:53:00]   [48/200] multi_turn_miss_func_47: FAIL (34/48 = 71%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[11:53:03]   [49/200] multi_turn_miss_func_48: PASS (35/49 = 71%)
[11:53:05]   [50/200] multi_turn_miss_func_49: FAIL (35/50 = 70%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[11:53:07]   [51/200] multi_turn_miss_func_50: PASS (36/51 = 71%)
[11:53:20]   [52/200] multi_turn_miss_func_51: PASS (37/52 = 71%)
[11:53:29]   [53/200] multi_turn_miss_func_52: PASS (38/53 = 72%)
[11:53:31]   [54/200] multi_turn_miss_func_53: PASS (39/54 = 72%)
[11:53:42]   [55/200] multi_turn_miss_func_54: FAIL (39/55 = 71%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[11:53:55]   [56/200] multi_turn_miss_func_57: PASS (40/56 = 71%)
[11:53:58]   [57/200] multi_turn_miss_func_56: PASS (41/57 = 72%)
