[11:54:06] Run started: categories=['multi_turn_base'], workers=3, max_entries=all
[11:54:06] ── multi_turn_base ──
[11:54:06]   Loaded 200 entries
[11:54:24]   [1/200] multi_turn_base_1: PASS (1/1 = 100%)
[11:54:30]   [2/200] multi_turn_base_0: PASS (2/2 = 100%)
[11:54:32]   [3/200] multi_turn_base_3: PASS (3/3 = 100%)
[11:54:34]   [4/200] multi_turn_base_2: FAIL (3/4 = 75%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[11:54:40]   [5/200] multi_turn_base_4: PASS (4/5 = 80%)
[11:54:50]   [6/200] multi_turn_base_7: PASS (5/6 = 83%)
[11:54:51]   [7/200] multi_turn_base_6: PASS (6/7 = 86%)
[11:54:55]   [8/200] multi_turn_base_5: PASS (7/8 = 88%)
[11:55:07]   [9/200] multi_turn_base_8: PASS (8/9 = 89%)
[11:55:07]   [10/200] multi_turn_base_9: PASS (9/10 = 90%)
[11:55:13]   [11/200] multi_turn_base_11: PASS (10/11 = 91%)
[11:55:14]   [12/200] multi_turn_base_10: PASS (11/12 = 92%)
[11:55:18]   [13/200] multi_turn_base_12: PASS (12/13 = 92%)
[11:55:26]   [14/200] multi_turn_base_13: PASS (13/14 = 93%)
[11:55:27]   [15/200] multi_turn_base_14: PASS (14/15 = 93%)
[11:55:35]   [16/200] multi_turn_base_15: PASS (15/16 = 94%)
[11:55:36]   [17/200] multi_turn_base_16: PASS (16/17 = 94%)
[11:55:38]   [18/200] multi_turn_base_17: PASS (17/18 = 94%)
[11:55:46]   [19/200] multi_turn_base_19: PASS (18/19 = 95%)
[11:55:48]   [20/200] multi_turn_base_20: PASS (19/20 = 95%)
[11:55:53]   [21/200] multi_turn_base_18: PASS (20/21 = 95%)
[11:55:58]   [22/200] multi_turn_base_21: PASS (21/22 = 95%)
[11:56:02]   [23/200] multi_turn_base_22: PASS (22/23 = 96%)
[11:56:06]   [24/200] multi_turn_base_23: FAIL (22/24 = 92%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[11:56:10]   [25/200] multi_turn_base_25: FAIL (22/25 = 88%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[11:56:14]   [26/200] multi_turn_base_26: PASS (23/26 = 88%)
[11:56:19]   [27/200] multi_turn_base_24: FAIL (23/27 = 85%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[11:56:21]   [28/200] multi_turn_base_27: FAIL (23/28 = 82%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[11:56:29]   [29/200] multi_turn_base_29: PASS (24/29 = 83%)
[11:56:31]   [30/200] multi_turn_base_30: PASS (25/30 = 83%)
