[12:34:00] Run started: categories=['multi_turn_miss_param'], workers=3, max_entries=all
[12:34:00] ── multi_turn_miss_param ──
[12:34:00]   Loaded 200 entries
[12:34:18]   [1/200] multi_turn_miss_param_1: PASS (1/1 = 100%)
[12:34:32]   [2/200] multi_turn_miss_param_0: PASS (2/2 = 100%)
[12:34:32]   [3/200] multi_turn_miss_param_3: PASS (3/3 = 100%)
[12:34:38]   [4/200] multi_turn_miss_param_2: FAIL (3/4 = 75%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[12:34:50]   [5/200] multi_turn_miss_param_4: PASS (4/5 = 80%)
[12:34:55]   [6/200] multi_turn_miss_param_5: PASS (5/6 = 83%)
[12:34:57]   [7/200] multi_turn_miss_param_6: PASS (6/7 = 86%)
[12:35:02]   [8/200] multi_turn_miss_param_7: PASS (7/8 = 88%)
[12:35:13]   [9/200] multi_turn_miss_param_9: PASS (8/9 = 89%)
[12:35:13]   [10/200] multi_turn_miss_param_8: PASS (9/10 = 90%)
[12:35:26]   [11/200] multi_turn_miss_param_11: PASS (10/11 = 91%)
[12:35:27]   [12/200] multi_turn_miss_param_12: PASS (11/12 = 92%)
[12:35:31]   [13/200] multi_turn_miss_param_10: PASS (12/13 = 92%)
[12:35:38]   [14/200] multi_turn_miss_param_13: PASS (13/14 = 93%)
[12:35:45]   [15/200] multi_turn_miss_param_14: PASS (14/15 = 93%)
[12:35:51]   [16/200] multi_turn_miss_param_16: PASS (15/16 = 94%)
[12:35:56]   [17/200] multi_turn_miss_param_15: PASS (16/17 = 94%)
[12:36:02]   [18/200] multi_turn_miss_param_17: FAIL (16/18 = 89%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[12:36:12]   [19/200] multi_turn_miss_param_19: PASS (17/19 = 89%)
[12:36:17]   [20/200] multi_turn_miss_param_18: PASS (18/20 = 90%)
[12:36:19]   [21/200] multi_turn_miss_param_20: PASS (19/21 = 90%)
[12:36:24]   [22/200] multi_turn_miss_param_21: PASS (20/22 = 91%)
[12:36:33]   [23/200] multi_turn_miss_param_23: FAIL (20/23 = 87%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:36:39]   [24/200] multi_turn_miss_param_22: PASS (21/24 = 88%)
[12:36:48]   [25/200] multi_turn_miss_param_24: FAIL (21/25 = 84%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:36:48]   [26/200] multi_turn_miss_param_25: FAIL (21/26 = 81%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[12:36:54]   [27/200] multi_turn_miss_param_26: PASS (22/27 = 81%)
[12:37:05]   [28/200] multi_turn_miss_param_29: PASS (23/28 = 82%)
[12:37:06]   [29/200] multi_turn_miss_param_27: FAIL (23/29 = 79%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:37:17]   [30/200] multi_turn_miss_param_28: FAIL (23/30 = 77%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:37:18]   [31/200] multi_turn_miss_param_30: PASS (24/31 = 77%)
[12:37:26]   [32/200] multi_turn_miss_param_31: FAIL (24/32 = 75%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:37:32]   [33/200] multi_turn_miss_param_32: PASS (25/33 = 76%)
[12:37:34]   [34/200] multi_turn_miss_param_33: PASS (26/34 = 76%)
[12:37:38]   [35/200] multi_turn_miss_param_34: FAIL (26/35 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:37:51]   [36/200] multi_turn_miss_param_35: FAIL (26/36 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:37:54]   [37/200] multi_turn_miss_param_36: PASS (27/37 = 73%)
[12:37:55]   [38/200] multi_turn_miss_param_37: PASS (28/38 = 74%)
[12:38:08]   [39/200] multi_turn_miss_param_38: PASS (29/39 = 74%)
[12:38:10]   [40/200] multi_turn_miss_param_39: PASS (30/40 = 75%)
[12:38:11]   [41/200] multi_turn_miss_param_40: PASS (31/41 = 76%)
[12:38:22]   [42/200] multi_turn_miss_param_41: FAIL (31/42 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:38:28]   [43/200] multi_turn_miss_param_43: PASS (32/43 = 74%)
[12:38:35]   [44/200] multi_turn_miss_param_42: FAIL (32/44 = 73%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:38:36]   [45/200] multi_turn_miss_param_44: PASS (33/45 = 73%)
[12:38:40]   [46/200] multi_turn_miss_param_45: PASS (34/46 = 74%)
[12:38:46]   [47/200] multi_turn_miss_param_46: FAIL (34/47 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:38:51]   [48/200] multi_turn_miss_param_47: PASS (35/48 = 73%)
[12:38:58]   [49/200] multi_turn_miss_param_50: PASS (36/49 = 73%)
[12:39:01]   [50/200] multi_turn_miss_param_49: PASS (37/50 = 74%)
