[12:57:38] Run started: categories=['multi_turn_long_context'], workers=3, max_entries=all
[12:57:38] ── multi_turn_long_context ──
[12:57:38]   Loaded 200 entries
[12:57:55]   [1/200] multi_turn_long_context_1: PASS (1/1 = 100%)
[12:58:06]   [2/200] multi_turn_long_context_3: PASS (2/2 = 100%)
[12:58:06]   [3/200] multi_turn_long_context_0: PASS (3/3 = 100%)
[12:58:10]   [4/200] multi_turn_long_context_2: FAIL (3/4 = 75%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:58:16]   [5/200] multi_turn_long_context_4: PASS (4/5 = 80%)
[12:58:24]   [6/200] multi_turn_long_context_7: PASS (5/6 = 83%)
[12:58:31]   [7/200] multi_turn_long_context_6: PASS (6/7 = 86%)
[12:58:39]   [8/200] multi_turn_long_context_5: PASS (7/8 = 88%)
[12:58:40]   [9/200] multi_turn_long_context_8: PASS (8/9 = 89%)
[12:58:45]   [10/200] multi_turn_long_context_11: PASS (9/10 = 90%)
[12:58:50]   [11/200] multi_turn_long_context_9: FAIL (9/11 = 82%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:58:55]   [12/200] multi_turn_long_context_12: PASS (10/12 = 83%)
[12:58:59]   [13/200] multi_turn_long_context_13: PASS (11/13 = 85%)
[12:59:01]   [14/200] multi_turn_long_context_10: PASS (12/14 = 86%)
[12:59:07]   [15/200] multi_turn_long_context_14: PASS (13/15 = 87%)
[12:59:11]   [16/200] multi_turn_long_context_16: PASS (14/16 = 88%)
[12:59:16]   [17/200] multi_turn_long_context_15: PASS (15/17 = 88%)
[12:59:18]   [18/200] multi_turn_long_context_17: PASS (16/18 = 89%)
[12:59:28]   [19/200] multi_turn_long_context_19: PASS (17/19 = 89%)
[12:59:29]   [20/200] multi_turn_long_context_20: PASS (18/20 = 90%)
[12:59:30]   [21/200] multi_turn_long_context_18: PASS (19/21 = 90%)
[12:59:41]   [22/200] multi_turn_long_context_21: PASS (20/22 = 91%)
[12:59:44]   [23/200] multi_turn_long_context_23: FAIL (20/23 = 87%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:59:46]   [24/200] multi_turn_long_context_22: PASS (21/24 = 88%)
[12:59:53]   [25/200] multi_turn_long_context_25: FAIL (21/25 = 84%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:59:55]   [26/200] multi_turn_long_context_26: PASS (22/26 = 85%)
